Feature,Importance
ADL,326
MMSE,325
FunctionalAssessment,286
DietQuality,182
CholesterolTotal,174
CholesterolTriglycerides,166
CholesterolLDL,156
BehavioralProblems,155
SleepQuality,147
MemoryComplaints,133
Age,127
BMI,125
CholesterolHDL,122
DiastolicBP,121
PhysicalActivity,118
SystolicBP,108
AlcoholConsumption,105
EducationLevel,25
Ethnicity,22
Disorientation,15
Smoking,14
CardiovascularDisease,13
Depression,8
PersonalityChanges,7
FamilyHistoryAlzheimers,5
Forgetfulness,4
Gender,4
Hypertension,3
Confusion,2
HeadInjury,2
Diabetes,0
DifficultyCompletingTasks,0
