Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
LightGBM,0.9534883720930233,0.9459459459459459,0.9210526315789473,0.9333333333333333,0.9519358197652403
Gradient Boosting,0.9441860465116279,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9473210904960243
Gradient Boosting-Tuned,0.9372093023255814,0.9084967320261438,0.9144736842105263,0.9114754098360656,0.9460668307459296
LightGBM-Tuned,0.9534883720930233,0.9459459459459459,0.9210526315789473,0.9333333333333333,0.9458538432411964
CatBoost-Tuned,0.9465116279069767,0.9328859060402684,0.9144736842105263,0.9235880398671097,0.9455698599015526
XGBoost,0.9418604651162791,0.9319727891156463,0.9013157894736842,0.9163879598662207,0.945238546005301
XGBoost-Tuned,0.9441860465116279,0.9324324324324325,0.9078947368421053,0.92,0.943652972358955
CatBoost,0.9488372093023256,0.9333333333333333,0.9210526315789473,0.9271523178807947,0.9431560015145779
AdaBoost,0.9186046511627907,0.8726114649681529,0.9013157894736842,0.8867313915857605,0.9383992805755396
Random Forest,0.9395348837209302,0.9436619718309859,0.881578947368421,0.9115646258503401,0.936423229837183
SVC,0.8534883720930233,0.8449612403100775,0.7171052631578947,0.7758007117437722,0.904084627035214
Logistic Regression,0.8162790697674419,0.7449664429530202,0.7302631578947368,0.7375415282392026,0.8864776599772813
Decision Tree,0.8767441860465116,0.8074534161490683,0.8552631578947368,0.8306709265175719,0.8718761832639151
KNN,0.7604651162790698,0.7207207207207207,0.5263157894736842,0.6083650190114068,0.7612528398333964
