iter	Passed	Remaining
0	3	933
1	6	909
2	9	907
3	11	839
4	15	924
5	18	887
6	20	857
7	22	821
8	24	791
9	26	765
10	30	792
11	33	793
12	35	785
13	37	770
14	39	754
15	41	740
16	44	739
17	47	742
18	49	733
19	51	724
20	53	714
21	55	704
22	57	695
23	60	691
24	62	691
25	65	686
26	67	681
27	69	674
28	71	667
29	73	660
30	76	663
31	78	661
32	81	657
33	83	653
34	86	655
35	89	653
36	91	650
37	94	649
38	96	645
39	98	641
40	101	639
41	103	634
42	105	630
43	108	632
44	111	630
45	113	625
46	115	620
47	117	615
48	119	610
49	121	605
50	123	602
51	126	601
52	128	597
53	130	593
54	132	588
55	134	584
56	136	579
57	138	576
58	140	574
59	142	571
60	145	569
61	147	567
62	150	564
63	152	561
64	154	559
65	157	558
66	159	555
67	162	555
68	165	553
69	167	549
70	169	546
71	172	545
72	174	542
73	176	539
74	178	535
75	180	531
76	182	528
77	184	525
78	186	522
79	189	521
80	191	518
81	194	516
82	196	514
83	199	511
84	201	509
85	204	509
86	207	507
87	209	504
88	212	503
89	214	500
90	216	498
91	219	497
92	222	494
93	224	491
94	226	488
95	228	485
96	230	481
97	232	478
98	234	476
99	238	476
100	240	473
101	242	469
102	244	466
103	246	463
104	248	461
105	250	458
106	253	457
107	255	454
108	257	451
109	259	448
110	261	445
111	263	442
112	265	439
113	268	437
114	270	434
115	272	432
116	274	429
117	276	426
118	278	423
119	280	420
120	283	419
121	285	416
122	288	414
123	290	412
124	293	410
125	295	408
126	301	410
127	303	408
128	306	406
129	309	404
130	311	402
131	315	401
132	318	399
133	321	398
134	324	396
135	327	395
136	331	394
137	334	392
138	336	389
139	338	387
140	341	384
141	346	385
142	349	383
143	352	381
144	355	380
145	357	377
146	360	375
147	365	375
148	368	373
149	371	371
150	374	369
151	377	367
152	379	364
153	382	362
154	385	360
155	388	358
156	391	356
157	394	354
158	396	352
159	399	349
160	401	346
161	404	344
162	406	341
163	410	340
164	413	338
165	415	335
166	418	332
167	421	330
168	424	328
169	426	326
170	429	323
171	432	321
172	434	318
173	436	316
174	439	314
175	442	311
176	445	309
177	448	307
178	450	304
179	453	302
180	456	300
181	459	297
182	462	295
183	465	293
184	468	290
185	470	288
186	474	286
187	476	283
188	480	282
189	483	279
190	486	277
191	489	275
192	492	272
193	494	270
194	496	267
195	500	265
196	504	263
197	506	261
198	510	259
199	513	256
200	515	253
201	517	251
202	520	248
203	523	246
204	526	243
205	528	241
206	530	238
207	532	235
208	535	233
209	538	230
210	541	228
211	543	225
212	546	223
213	548	220
214	550	217
215	553	215
216	557	213
217	559	210
218	562	207
219	564	205
220	567	202
221	571	200
222	574	198
223	576	195
224	579	193
225	582	190
226	585	188
227	588	185
228	590	183
229	593	180
230	596	178
231	599	175
232	603	173
233	605	170
234	608	168
235	611	165
236	613	163
237	616	160
238	619	158
239	622	155
240	625	153
241	627	150
242	631	148
243	634	145
244	637	143
245	639	140
246	642	137
247	644	135
248	647	132
249	650	130
250	653	127
251	656	125
252	658	122
253	660	119
254	663	117
255	666	114
256	669	111
257	672	109
258	674	106
259	676	104
260	679	101
261	682	99
262	685	96
263	688	93
264	691	91
265	695	88
266	698	86
267	701	83
268	704	81
269	706	78
270	710	76
271	726	74
272	729	72
273	732	69
274	735	66
275	737	64
276	740	61
277	743	58
278	746	56
279	749	53
280	752	50
281	754	48
282	757	45
283	760	42
284	763	40
285	766	37
286	768	34
287	771	32
288	774	29
289	778	26
290	781	24
291	784	21
292	786	18
293	788	16
294	792	13
295	795	10
296	798	8
297	800	5
298	804	2
299	808	0
